Keskusta;5;5;1
Keskusta;4;5;1
Kokoomus;5;5;4
Kokoomus;4;5;2
Kokoomus;5;5;2
Kokoomus;4;5;1
Kokoomus;4;5;4
Kokoomus;4;4;4
Kokoomus;4;5;2
Kokoomus;5;4;2
Kokoomus;4;4;2
Kokoomus;4;4;2
Kokoomus;5;2;4
Kokoomus;4;4;2
Kokoomus;4;4;2
Kokoomus;2;5;2
Kokoomus;4;4;2
Kokoomus;5;4;4
Kokoomus;1;5;1
Kokoomus;4;5;2
Kokoomus;4;4;1
Kokoomus;5;1;1
Kokoomus;5;2;5
Kokoomus;4;4;4
Kokoomus;5;5;1
Kokoomus;4;4;4
Kokoomus;4;4;2
Kokoomus;5;4;4
Kokoomus;4;5;4
Kokoomus;4;4;4
Kokoomus;4;5;1
Kokoomus;4;5;2
Kokoomus;4;5;1
Kokoomus;5;4;4
Sininen tulevaisuus;1;4;1
Sininen tulevaisuus;-;-;-
Sininen tulevaisuus;4;4;5
Sininen tulevaisuus;-;-;-
Sininen tulevaisuus;2;5;1
Sininen tulevaisuus;2;5;1
Sininen tulevaisuus;-;-;-
Sininen tulevaisuus;4;5;2
Sininen tulevaisuus;2;2;2
Sininen tulevaisuus;-;-;-
Sininen tulevaisuus;2;5;1
Kokoomus;4;4;2
Sininen tulevaisuus;4;5;2
Sininen tulevaisuus;2;5;2
Sininen tulevaisuus;5;5;4
Sininen tulevaisuus;-;-;-
Sininen tulevaisuus;1;5;1
Sininen tulevaisuus;5;4;4
Sininen tulevaisuus;-;-;-
Sininen tulevaisuus;2;5;1
Sininen tulevaisuus;-;-;-
Sininen tulevaisuus;5;5;1
Sininen tulevaisuus;2;5;2
Sininen tulevaisuus;1;5;1
Sininen tulevaisuus;2;5;1
Sininen tulevaisuus;-;-;-
Sininen tulevaisuus;4;5;2
Sininen tulevaisuus;4;4;2
Piraattipuolue;5;4;5
Piraattipuolue;5;5;2
Piraattipuolue;2;5;1
Piraattipuolue;-;-;-
Piraattipuolue;4;4;2
Piraattipuolue;5;2;5
Piraattipuolue;5;2;4
Piraattipuolue;4;5;2
Piraattipuolue;5;4;4
Piraattipuolue;-;-;-
Piraattipuolue;4;5;2
Piraattipuolue;2;5;1
Piraattipuolue;4;4;4
Piraattipuolue;4;2;4
Piraattipuolue;5;2;4
Piraattipuolue;4;4;4
Piraattipuolue;5;4;4
Liberaalipuolue;5;4;4
Liberaalipuolue;5;5;5
Liberaalipuolue;5;5;4
Liberaalipuolue;1;5;1
Liberaalipuolue;5;4;5
Liberaalipuolue;5;4;5
Liberaalipuolue;4;5;1
Liberaalipuolue;1;5;1
Liberaalipuolue;2;5;1
Liberaalipuolue;5;4;5
Liberaalipuolue;2;5;2
Liberaalipuolue;1;5;1
Liberaalipuolue;4;4;2
Liberaalipuolue;2;4;4
Liberaalipuolue;4;4;2
Liberaalipuolue;5;4;1
Liberaalipuolue;4;4;2
RKP;5;4;4
RKP;4;2;2
RKP;2;4;1
RKP;2;5;1
RKP;5;2;1
RKP;4;2;4
RKP;4;2;4
RKP;4;4;2
RKP;5;2;2
RKP;4;5;4
RKP;4;4;4
RKP;2;4;1
RKP;5;1;4
RKP;4;4;2
RKP;5;4;2
RKP;5;5;1
RKP;4;4;1
RKP;4;4;1
RKP;5;2;4
RKP;4;4;4
RKP;4;4;1
RKP;4;2;2
RKP;4;5;2
RKP;5;2;2
RKP;5;5;1
RKP;4;4;4
RKP;5;2;5
RKP;4;2;4
RKP;4;4;2
RKP;5;4;4
SDP;4;4;4
SDP;4;4;4
SDP;4;;4
SDP;4;4;4
SDP;4;4;4
SDP;5;2;4
SDP;4;5;1
SDP;4;2;4
SDP;5;2;4
SDP;4;2;4
SDP;5;4;4
SDP;4;5;2
SDP;5;2;5
SDP;2;5;2
SDP;4;4;2
SDP;5;2;4
SDP;4;2;2
SDP;4;2;2
SDP;4;4;1
SDP;5;2;5
SDP;2;5;2
SDP;5;5;1
SDP;4;4;1
SDP;4;4;4
SDP;-;-;-
SDP;4;4;2
SDP;5;1;2
SDP;5;2;4
SDP;5;2;5
SDP;5;2;2
SDP;4;4;2
SDP;4;4;2
SDP;4;4;2
SDP;4;4;4
Vasemmistoliitto;5;4;5
Vasemmistoliitto;5;4;4
Vasemmistoliitto;5;2;4
Vasemmistoliitto;5;2;4
Vasemmistoliitto;5;2;2
Vasemmistoliitto;5;2;4
Vasemmistoliitto;5;2;4
Vasemmistoliitto;4;5;4
Vasemmistoliitto;4;2;4
Vasemmistoliitto;5;4;4
Vasemmistoliitto;5;4;4
Vasemmistoliitto;4;4;2
Vasemmistoliitto;5;2;5
Vasemmistoliitto;5;2;4
Vasemmistoliitto;-;-;-
Vasemmistoliitto;5;2;4
Vasemmistoliitto;5;2;5
Vasemmistoliitto;5;2;4
Vasemmistoliitto;5;2;5
Vasemmistoliitto;5;2;5
Vasemmistoliitto;5;5;4
Vasemmistoliitto;;;
Vasemmistoliitto;5;2;5
Vasemmistoliitto;5;1;4
Vasemmistoliitto;5;2;4
Vasemmistoliitto;5;4;4
Vasemmistoliitto;5;2;4
Vasemmistoliitto;4;4;1
Vasemmistoliitto;5;2;2
Vasemmistoliitto;4;4;4
Vasemmistoliitto;5;1;5
Vasemmistoliitto;4;4;4
Vasemmistoliitto;5;1;5
Kristillisdemokraatit;5;5;4
Kristillisdemokraatit;1;5;1
Kristillisdemokraatit;4;5;2
